municipality,urbanicity_level,inhabitants,largest_party
oost gelre,4.0,29840,Nieuw Sociaal Contract
oosterhout,2.0,57420,PVV (Partij voor de Vrijheid)
ooststellingwerf,5.0,25834,PVV (Partij voor de Vrijheid)
oostzaan,3.0,9711,PVV (Partij voor de Vrijheid)
opmeer,4.0,12176,PVV (Partij voor de Vrijheid)
opsterland,5.0,30053,PVV (Partij voor de Vrijheid)
oss,3.0,94457,PVV (Partij voor de Vrijheid)
oude ijsselstreek,4.0,39608,PVV (Partij voor de Vrijheid)
ouder-amstel,3.0,14280,GROENLINKS / Partij van de Arbeid (PvdA)
oudewater,4.0,10233,PVV (Partij voor de Vrijheid)
overbetuwe,4.0,48703,PVV (Partij voor de Vrijheid)
papendrecht,2.0,32271,PVV (Partij voor de Vrijheid)
peel en maas,4.0,45283,PVV (Partij voor de Vrijheid)
pekela,4.0,12414,PVV (Partij voor de Vrijheid)
pijnacker-nootdorp,2.0,57683,PVV (Partij voor de Vrijheid)
purmerend,2.0,94003,PVV (Partij voor de Vrijheid)
putten,4.0,24895,PVV (Partij voor de Vrijheid)
raalte,4.0,38498,Nieuw Sociaal Contract
reimerswaal,4.0,23262,Staatkundig Gereformeerde Partij (SGP)
renkum,4.0,31468,GROENLINKS / Partij van de Arbeid (PvdA)
renswoude,4.0,5747,PVV (Partij voor de Vrijheid)
reusel-de mierden,4.0,13549,PVV (Partij voor de Vrijheid)
rheden,3.0,43584,PVV (Partij voor de Vrijheid)
rhenen,4.0,20332,PVV (Partij voor de Vrijheid)
ridderkerk,2.0,47485,PVV (Partij voor de Vrijheid)
rijssen-holten,3.0,38494,Staatkundig Gereformeerde Partij (SGP)
rijswijk,1.0,58004,PVV (Partij voor de Vrijheid)
roerdalen,5.0,20705,PVV (Partij voor de Vrijheid)
roermond,2.0,59965,PVV (Partij voor de Vrijheid)
roosendaal,2.0,77588,PVV (Partij voor de Vrijheid)
rotterdam,1.0,664071,PVV (Partij voor de Vrijheid)
rozendaal,4.0,1752,VVD
rucphen,4.0,23614,PVV (Partij voor de Vrijheid)
schagen,4.0,47454,PVV (Partij voor de Vrijheid)
scherpenzeel,4.0,10387,PVV (Partij voor de Vrijheid)
schiedam,1.0,80631,PVV (Partij voor de Vrijheid)
schiermonnikoog,5.0,985,GROENLINKS / Partij van de Arbeid (PvdA)
schouwen-duiveland,5.0,34549,PVV (Partij voor de Vrijheid)
's-hertogenbosch,2.0,158796,PVV (Partij voor de Vrijheid)
simpelveld,4.0,10398,PVV (Partij voor de Vrijheid)
sint-michielsgestel,4.0,30131,PVV (Partij voor de Vrijheid)
sittard-geleen,2.0,92232,PVV (Partij voor de Vrijheid)
sliedrecht,2.0,26178,PVV (Partij voor de Vrijheid)
sluis,5.0,23248,PVV (Partij voor de Vrijheid)
smallingerland,3.0,56098,PVV (Partij voor de Vrijheid)
soest,3.0,47432,VVD
someren,4.0,20068,PVV (Partij voor de Vrijheid)
son en breugel,4.0,18016,VVD
stadskanaal,4.0,32164,PVV (Partij voor de Vrijheid)
staphorst,5.0,17637,Staatkundig Gereformeerde Partij (SGP)
stede broec,3.0,22135,PVV (Partij voor de Vrijheid)
steenbergen,4.0,24599,PVV (Partij voor de Vrijheid)
steenwijkerland,4.0,45374,PVV (Partij voor de Vrijheid)
stein,4.0,24772,PVV (Partij voor de Vrijheid)
stichtse vecht,3.0,65765,PVV (Partij voor de Vrijheid)
súdwest-fryslân,4.0,90876,PVV (Partij voor de Vrijheid)
terneuzen,4.0,54985,PVV (Partij voor de Vrijheid)
terschelling,5.0,4929,PVV (Partij voor de Vrijheid)
texel,4.0,13970,PVV (Partij voor de Vrijheid)
teylingen,3.0,38520,VVD
tholen,4.0,26829,PVV (Partij voor de Vrijheid)
tiel,3.0,42606,PVV (Partij voor de Vrijheid)
tilburg,1.0,227701,PVV (Partij voor de Vrijheid)
tubbergen,5.0,21410,Nieuw Sociaal Contract
twenterand,4.0,33865,PVV (Partij voor de Vrijheid)
tynaarlo,4.0,34624,GROENLINKS / Partij van de Arbeid (PvdA)
tytsjerksteradiel,4.0,32410,PVV (Partij voor de Vrijheid)
uitgeest,3.0,13463,PVV (Partij voor de Vrijheid)
uithoorn,3.0,31436,PVV (Partij voor de Vrijheid)
urk,3.0,21858,Staatkundig Gereformeerde Partij (SGP)
utrecht,1.0,367951,GROENLINKS / Partij van de Arbeid (PvdA)
utrechtse heuvelrug,4.0,50422,GROENLINKS / Partij van de Arbeid (PvdA)
vaals,3.0,10203,PVV (Partij voor de Vrijheid)
valkenburg aan de geul,4.0,16427,PVV (Partij voor de Vrijheid)
valkenswaard,2.0,31546,PVV (Partij voor de Vrijheid)
veendam,3.0,27614,PVV (Partij voor de Vrijheid)
veenendaal,2.0,68529,PVV (Partij voor de Vrijheid)
veere,5.0,22050,VVD
veldhoven,2.0,46415,PVV (Partij voor de Vrijheid)
velsen,2.0,68811,PVV (Partij voor de Vrijheid)
venlo,2.0,103329,PVV (Partij voor de Vrijheid)
venray,3.0,44633,PVV (Partij voor de Vrijheid)
vijfheerenlanden,4.0,60045,PVV (Partij voor de Vrijheid)
vlaardingen,1.0,75053,PVV (Partij voor de Vrijheid)
vlieland,5.0,1291,GROENLINKS / Partij van de Arbeid (PvdA)
vlissingen,2.0,45165,PVV (Partij voor de Vrijheid)
voerendaal,4.0,12404,PVV (Partij voor de Vrijheid)
voorne aan zee,3.0,73949,PVV (Partij voor de Vrijheid)
voorschoten,2.0,25656,VVD
voorst,4.0,25214,PVV (Partij voor de Vrijheid)
vught,3.0,32115,VVD
waadhoeke,5.0,46725,PVV (Partij voor de Vrijheid)
waalre,4.0,17973,VVD
waalwijk,3.0,49945,PVV (Partij voor de Vrijheid)
waddinxveen,2.0,32598,PVV (Partij voor de Vrijheid)
wageningen,2.0,40961,GROENLINKS / Partij van de Arbeid (PvdA)
wassenaar,3.0,27106,VVD
waterland,4.0,17616,PVV (Partij voor de Vrijheid)
weert,3.0,50915,PVV (Partij voor de Vrijheid)
west betuwe,5.0,52720,PVV (Partij voor de Vrijheid)
west maas en waal,5.0,20072,PVV (Partij voor de Vrijheid)
westerkwartier,5.0,64957,PVV (Partij voor de Vrijheid)
westerveld,5.0,19857,PVV (Partij voor de Vrijheid)
westervoort,3.0,15110,PVV (Partij voor de Vrijheid)
westerwolde,5.0,26533,PVV (Partij voor de Vrijheid)
westland,3.0,114915,PVV (Partij voor de Vrijheid)
weststellingwerf,4.0,26470,PVV (Partij voor de Vrijheid)
wierden,4.0,24867,Nieuw Sociaal Contract
wijchen,3.0,41540,PVV (Partij voor de Vrijheid)
wijdemeren,4.0,24654,VVD
wijk bij duurstede,3.0,23993,PVV (Partij voor de Vrijheid)
winterswijk,3.0,29253,Nieuw Sociaal Contract
woensdrecht,4.0,22190,PVV (Partij voor de Vrijheid)
woerden,3.0,53237,PVV (Partij voor de Vrijheid)
wormerland,2.0,16610,PVV (Partij voor de Vrijheid)
woudenberg,3.0,14353,Staatkundig Gereformeerde Partij (SGP)
zaanstad,2.0,159677,PVV (Partij voor de Vrijheid)
zaltbommel,4.0,30351,PVV (Partij voor de Vrijheid)
zandvoort,2.0,17544,PVV (Partij voor de Vrijheid)
zeewolde,4.0,23700,PVV (Partij voor de Vrijheid)
zeist,2.0,66674,GROENLINKS / Partij van de Arbeid (PvdA)
zevenaar,3.0,45054,PVV (Partij voor de Vrijheid)
zoetermeer,1.0,127052,PVV (Partij voor de Vrijheid)
zoeterwoude,4.0,9447,PVV (Partij voor de Vrijheid)
zuidplas,3.0,46977,PVV (Partij voor de Vrijheid)
zundert,4.0,22513,PVV (Partij voor de Vrijheid)
zutphen,2.0,48515,GROENLINKS / Partij van de Arbeid (PvdA)
zwartewaterland,4.0,23369,PVV (Partij voor de Vrijheid)
zwijndrecht,2.0,45013,PVV (Partij voor de Vrijheid)
zwolle,2.0,132493,GROENLINKS / Partij van de Arbeid (PvdA)
